<!--
  【本表定位】全量附录 —— Zephyr 全库 11932 个 Kconfig 符号的机器导出结果，供按名检索。
              需要「决策」信息请看同目录 config.csv（人工精写的 作用 / 备注·约束）。
  【生成方式】由 Kconfig 树文本解析（名称/类型/定义位置/默认值/依赖/help 原文），
              叠加 build/zephyr/.config 的实际取值与手写 .conf 的设置来源。
              重新生成：python3 tools/gen_config_csv.py
  【定义位置】按 AE103 视角优先级排序：本平台(0) > arch/riscv(1) > 内核·子系统(2) > 其他平台(3) > samples/tests(4)。
              同一符号多处定义时，「|」分隔，最前面那处即主定义。
  【默认值】分两列：「主定义处」是优先级最高那处写的 default（该处没写则标注隐式默认）；
            「全部定义处」是所有平台 default 的并集，用于追查同名符号的跨平台差异。
-->
配置项,类别,类型,定义位置(Kconfig:行),默认值(主定义处),默认值(全部定义处),AE103当前值,设置来源,作用(Kconfig help 原文),依赖(depends on)
CONFIG_ADC_LMP90XXX_CRC,drivers/adc,bool,drivers/adc/Kconfig.lmp90xxx:37,y,y,—(未定义/依赖不满足),,Use Cyclic Redundancy Check (CRC) to verify the integrity of the data read from the LMP90xxx.,
CONFIG_ADC_LMP90XXX_GPIO,drivers/adc,bool,drivers/adc/Kconfig.lmp90xxx:44 | boards/shields/lmp90100_evb/Kconfig.defconfig:8,n（隐式）,y,—(未定义/依赖不满足),,Enable GPIO child device support in the LMP90xxx ADC driver. The GPIO functionality is handled by the LMP90xxx GPIO driver.,GPIO
CONFIG_ADC_LTC2451,drivers/adc,bool,drivers/adc/Kconfig.ltc2451:4,y,y,—(未定义/依赖不满足),,,DT_HAS_LLTC_LTC2451_ENABLED
CONFIG_ADC_MAX11102_17,drivers/adc,bool,drivers/adc/Kconfig.max11102_17:5,y,y,—(未定义/依赖不满足),,Enable the driver implementation for the MAX11102-MAX11117 family,DT_HAS_MAXIM_MAX11102_ENABLED \
CONFIG_ADC_MAX11102_17_ACQUISITION_THREAD_INIT_PRIO,drivers/adc,int,drivers/adc/Kconfig.max11102_17:21,0,0,—(未定义/依赖不满足),,,ADC_MAX11102_17 && ADC_ASYNC
CONFIG_ADC_MAX11102_17_ACQUISITION_THREAD_STACK_SIZE,drivers/adc,int,drivers/adc/Kconfig.max11102_17:26,400,400,—(未定义/依赖不满足),,Size of the stack used for the internal data acquisition thread.,ADC_MAX11102_17 && ADC_ASYNC
CONFIG_ADC_MAX1125X,drivers/adc,bool,drivers/adc/Kconfig.max1125x:6,y,y,—(未定义/依赖不满足),,Enable the driver implementation for the MAX1125X,DT_HAS_MAXIM_MAX11254_ENABLED || DT_HAS_MAXIM_MAX11253_ENABLED
CONFIG_ADC_MAX1125X_ACQUISITION_THREAD_PRIORITY,drivers/adc,int,drivers/adc/Kconfig.max1125x:27,0,0,—(未定义/依赖不满足),,Priority level for the internal ADC data acquisition thread.,
CONFIG_ADC_MAX1125X_ACQUISITION_THREAD_STACK_SIZE,drivers/adc,int,drivers/adc/Kconfig.max1125x:33,400,400,—(未定义/依赖不满足),,Size of the stack used for the internal data acquisition thread.,
CONFIG_ADC_MAX1125X_ASYNC_THREAD_INIT_PRIORITY,drivers/adc,int,drivers/adc/Kconfig.max1125x:23,0,0,—(未定义/依赖不满足),,,
